
Site,HU10,tree,imperv,urb,water_dist,open_dev
C04-MBP1,723.157022,0.289431424,0.364032573,-0.175719079,2781.88951,0.011737761
C05-BEA1,83.97496189,0.209342106,0.180069244,-0.794027785,1587.119661,0.06025825
C05-BMP1,0.312736623,0.122994462,0.085901414,-0.848434023,1706.392531,0.134289813
C05-BMP2,1.592276884,0.111009465,0.150039184,-0.58720952,1807.819505,0.002295552
C05-EGG1,491.8205232,0.212376913,0.338894344,-0.089914624,2749.565894,0.018932874
C05-SPA1,118.9614188,0.08452936,0.429592661,0.508657767,974.1477207,0.026548673
C06-BEA2,0.920224729,0.228971171,0.127929406,-1.075797788,1439.765031,0.031016657
C06-HMP1,1.300891973,0.130446159,0.220318681,-0.415691878,396.0544821,0.004293074
D02-BMT1,2622.050959,0.105416584,0.723248919,2.499330071,4217.030666,0.000570939
D02-HUP0,3412.736408,0.213035015,0.483088794,1.639180342,4542.663559,0.029285099
D02-JBS1,5917.811533,0.175748103,0.543585091,3.0391722,4563.697854,0.036973345
D02-MDU1,0,0.175201687,0.19386914,-0.66310327,5145.765745,0.040915594
D02-MOP1,3371.563962,0.166775901,0.604322634,2.197073707,3889.895224,0.000286615
D02-RCP1,2071.163765,0.157517204,0.649502624,1.831664767,674.1381987,0.003148254
D02-SCP1,3055.265285,0.171253974,0.672816393,2.280746253,2776.058524,0
D03-AFP1,2624.846537,0.193525397,0.603054781,1.782208526,1653.804533,0.00171969
D03-AMP1,1700.013237,0.234766923,0.525799744,0.981883061,1242.925148,0.007447723
D03-CHP1,2634.508993,0.17507162,0.575001592,1.755232743,4351.8665,0.002008032
D03-GOM1,1534.950224,0.342441239,0.33142931,-0.127928507,27.89709051,0.111906125
D03-NPV1,825.5318607,0.363737933,0.325842053,-0.522607907,1114.6349,0.108913729
D03-STB1,5609.49492,0.184785719,0.597888465,3.061878831,2592.292837,0.002006306
D04-DNP1,1739.773398,0.223591474,0.44151867,0.750449418,2883.612878,0.1026965
D04-EDW0,762.9670755,0.496204803,0.266836474,-1.214062678,130.7359863,0.16628506
D04-RDP1,1459.434139,0.27758078,0.459584391,0.504103248,940.4431635,0.046298943
D04-ROS0,2490.984922,0.285432308,0.400008658,0.711242766,1550.30182,0.08192495
D05-ADC2,889.7401623,0.37488505,0.24929725,-0.795418216,265.8311515,0.171879484
D05-BRP1,1141.646532,0.280502152,0.363693573,0.031988716,848.6707082,0.077341736
D05-MIA1,518.6519949,0.283201494,0.47070792,0.123091869,184.0172884,0.070733104
D05-PRC1,638.9258678,0.339775502,0.30059855,-0.604016978,2737.516714,0.13312339
D06-KCG1,392.9393393,0.449736964,0.273708509,-1.185016717,2905.581282,0.095510438
D07-ASC0,69.96611677,0.39863643,0.193387333,-1.417141583,274.4900322,0.211582569
D07-NOC1,439.2097769,0.548974876,0.22796468,-1.668743143,536.7401216,0.096137339
D08-CCC1,502.3674655,0.312491048,0.196534261,-0.92136169,15.01441322,0.190885641
D08-DAW0,366.1675744,0.5702073,0.203102266,-1.858851272,187.5908701,0.053612385
D08-DAW2,637.8866346,0.622268257,0.206847246,-1.912990031,25.7940357,0.043714286
D09-CLG0,492.0021226,0.506714714,0.133666263,-1.820002334,102.1866739,0.291200917
D09-RYW1,107.5579814,0.828064088,0.061533393,-3.353978198,681.5705522,0.259662182
D09-VTC1,233.9964841,0.467051209,0.204433959,-1.549326257,250.3677469,0.163896848
D10-CAN0,78.62501066,0.515267854,0.278542753,-1.531304663,39.04809045,0.036400115
D10-MAC1,39.5658364,0.758780954,0.047599418,-3.18784177,283.5189864,0.092131617
D10-VHC1,60.72466136,0.176353412,0.31742551,-0.219996025,849.4257377,0.116905444
J01-BBS1,629.5186655,0.105320035,0.650469595,1.405827943,13038.49641,0.003149155
J01-CLP1,2437.45077,0.143312006,0.666701787,2.095495687,5213.819737,0.003729203
J01-LMP1,1954.34915,0.214977865,0.462564724,0.943440315,14093.63879,0.015763829
J01-NOR1,98.75316531,0.069484439,0.534661841,0.911062646,12034.3388,0.000858369
J01-SEP1,7963.754409,0.099126012,0.70937335,4.74107071,6922.835715,0.001722158
J01-SKP1,2605.4886,0.126822795,0.751342308,2.513180188,7978.218766,0.003721729
J01-UIC1,1437.553022,0.099680068,0.737893195,2.066645278,9586.379299,0.002583238
R02-DPG1,1744.137371,0.211501843,0.502004733,1.000895729,9591.776472,0.032998565
R02-FRP1,1395.990628,0.129937322,0.597494531,1.464292044,7310.021731,0.000573394
